Category,Name,AppointmentDate,La,Lo,Place,Notes,Degree
,Mr. James D. Roberts,,,,Management & Visitor Services,Chief of Cultural Resources,"MA '81, IFA (GSAS/History of Art and Archaeology); CERT '81, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Linda Jones Roccos, Ph.D.",,,,College of Staten Island,Professor,"BA '73, WSC (Fine Arts); PHD '86, IFA (GSAS/Fine Arts)"
,Ms. Anne Marie Rochfort,,,,Marlborough Gallery,Archivist,"MA '08, IFA (GSAS/History of Art and Archaeology)"
,Ms. Clara-Ines Rojas-Sebesta,,,,CRS Conservation,Paper Conservator,"CERT '05, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Hedy Roma,,,,World Monuments Fund,Director of Development,"BA '86, WSC; MA '92, IFA (GSAS/History of Art and Archaeology)"
,"Katherine Ann Romba, Ph.D.",,,,Department of Art,Assistant Professor,"MA '95, IFA (GSAS/History of Art and Archaeology); PHD '05, IFA (GSAS/History of Art and Archaeology)"
,Mr. Christopher Lee Romero,,,,Pitforms,Gallery Associate,"MA '12, IFA (Museum Studies)"
,Dr. Betsy J. Rosasco,,,,Princeton University Art Museum,Research Curator of European Painting and Sculpture,"MA '71, IFA (GSAS/Fine Arts)"
,Mrs. Bernice B. Rose,,,,The Menil Drawing Institute & Study Ctr,Chief Curator,"MA '70, IFA (GSAS/Fine Arts)"
,Mr. Allen Rosenbaum,,,,Princeton University Art Museum,Director Emeritus,"MA '62, IFA (GSAS/Fine Arts)"
,Dr. Susan Rosenberg,,,,St. John's University,"Director, Museum Administration M.A.","MA '92, IFA (GSAS/History of Art and Archaeology); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,"Jason Marshall Rosenfeld, Ph.D.",,,,Marymount Manhattan College,Distinguished Chair/Prof of Art History,"MA '93, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Phyllis D. Rosenzweig,,,,Hirschhorn Museum & Sculpture Garden,Curator of Works on Paper,"MA '95, IFA (GSAS/History of Art and Archaeology)"
,"Diana P. Rowan, Ph.D.",,,,Metropolitan Museum of Art,Contractual Lecturer,"PHD '97, IFA (GSAS/History of Art and Archaeology)"
,Mr. Timothy F. Rub,,,,Philadelphia Museum of Art,Director and Chief Executive,"MA '79, IFA (GSAS/Fine Arts); ADCRT '85, IFA (GSAS/Curatorial Studies)"
,Ms. Dorothy R. Rudzki,,,,The Museum at F.I.T.,Museum Cataloguer - Retired,"MA '86, IFA (GSAS/Fine Arts)"
,Ms. Rebecca A. Rushfield-Wittert,,,,Self employed,Consultant,"CERT '80, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '80, IFA (GSAS/History of Art and Archaeology)"
,"Anna Devi Russakoff, Ph.D.",,,,The American University of Paris,Assistant Professor,"MA '99, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
,Dr. Diane Russcol,,,,Fieldston School,Teacher,"PHD '85, IFA (GSAS/Fine Arts)"
,Ms. Jennifer Russell,,,,The Metropolitan Museum of Art,Associate Director for Exhibitions,"MA '74, IFA (GSAS/Fine Arts)"
,Ms. Teresa M. Russo,,,,The Metropolitan Museum of Art,Museum Educator,"MA '88, IFA (GSAS/Fine Arts)"
,"Edmund Campion Ryder, Ph.D.",,,,Queens College CUNY,Adjunct Associate Professor,"BA '98, CAS (Fine Arts); MA '01, IFA (GSAS/History of Art and Archaeology); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Professor Kathleen Marie Ryor,,,,Department of Art History,Professor of Art History,"MA '87, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,"Mr. Samuel Sachs, II",,,,Pollock-Krasner Foundation,President,"MA '63, IFA (GSAS/Fine Arts)"
,Ms. Shannon H. Sacks,,,,New York Univesity Inst. of Fine Arts, ,"BA '91, WSC (Fine Arts); MA '94, IFA (GSAS/History of Art and Archaeology)"
,Mr. Alan K. Safani,,,, , ,"XX '74, SCPS; XX '82, IFA (GSAS/Fine Arts)"
,Ms. Michele F. Saliola,,,,Judd Foundation,Director Of Programs,"BA '01, CAS (Fine Arts); MA '03, IFA (GSAS/History of Art and Archaeology)"
,Ms. Cristina Salmastrelli,,,,Affordable Art Fair,Fair Director,"MA '07, IFA (Museum Studies)"
,"Margaret Anne Samu, Ph.D.",,,,Metropolitan Museum of Art,Postdoctoral Fellow,"MA '04, IFA (GSAS/History of Art and Archaeology); PHD '10, IFA (GSAS/History of Art and Archaeology)"
,"Sofia Sanabrais, Ph.D.",,,,Department of Latin American Art,Assistant Curator,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. Karin Ann Sanders,,,, ,Director ,"MA '13, IFA (GSAS/History of Art and Archaeology)"
,Dr. Warren Sanderson,,,,Concordia University,Professor Emeritus,"PHD '65, IFA (GSAS/Fine Arts)"
,Dr. Lucy Freeman Sandler,,,,New York University,"Professor of Art History, emerita","PHD '64, IFA (GSAS/Fine Arts)"
,Dr. Cynthia H. Sanford,,,,"Fine Arts Department, Saint Peter's College","Adjunct Lecturer, History of Western Art","MA '80, IFA (GSAS/Fine Arts)"
,Dr. Cathy Santore,,,,NYC College of Technology/CUNY,Associate Prof./Chairperson,"PHD '90, IFA (GSAS/History of Art and Archaeology)"
,Dr. Evanthia Saporiti,,,,American College of Greece (Deree College),Professor of Art History,"PHD '90, IFA (GSAS/History of Art and Archaeology)"
,Ms. A.M.J. Sarabia,,,,First City Capital Mgmt.,Chief Compliance Officer,"MA '88, IFA (GSAS/Fine Arts)"
,"Marika Sardar, Ph.D.",,,,San Diego Museum of Art,Associate Curator of Southern Asian and Islamic art ,"MA '01, IFA (GSAS/History of Art and Archaeology); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Ms. Shelley K. Sass,,,,Sass Conservation Inc., ,"CERT '85, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Julie M. Saul,,,,Julie Saul Gallery,Art Dealer,"MA '82, IFA (GSAS/Fine Arts)"
,Ms. Holly Pinto Savinetti,,,,Nassau County Musuem of Art,former Curator,"MA '76, IFA (GSAS/Fine Arts)"
,"Daniel Arthur Savoy, Ph.D.",,,,Manhattan College,Assistant Professor of Art History,"PHD '08, IFA (GSAS/History of Art and Archaeology)"
,Mr. Stefano Scafetta,,,, ,Retired,"CERT '72, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Catherine Scandalis,,,,Metropolitan Museum of Art,Retired,"XX '81, SCPS; XX '84, Education; CERT '90, GSAS (Museum Studies); MA '90, IFA (Humanities and Social Thought)"
,Ms. Monica F. Schaffer,,,,Gensler Architecture and Design,"Director, Global Public Relations","MA '98, IFA (GSAS/History of Art and Archaeology)"
,Ms. Ingrid L. Schaffner,,,,Institute of Contemporary Art,Senior Curator,"MA '90, IFA (GSAS/Fine Arts)"
,Ms. Tamara Emily Schechter,,,,Dept of European Sculpture,Research Associate,"MA '10, IFA (GSAS/History of Art and Archaeology)"
,Ms. Lisa W. Schermerhorn,,,,The Samuel H. Kress Foundation,Deputy Director,"MA '13, IFA (GSAS/History of Art and Archaeology)"
,Ms. Deborah Schorsch,,,,The Metropolitan Museum of Art,Conservator,"MA '81, IFA (GSAS/History of Art and Archaeology); CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Jeffrey Schrader, Ph.D.",,,,Visual Arts Department,Associate Professor of Art History,"PHD '03, IFA (GSAS/History of Art and Archaeology)"
,Ms. Nina Nathan Schroeder,,,,Windhorse Design,President,"MA '88, IFA (GSAS/Fine Arts)"
,Dr. Sarah W. Schroth,,,,Nasher Museum of Art at Duke University,Director,"PHD '90, IFA (GSAS/Fine Arts)"
,Dr. Karl F. Schuler,,,,Savannah College of Art and Design,Professor,"MA '90, IFA (GSAS/Fine Arts); PHD '95, IFA (GSAS/History of Art and Archaeology)"
,Mr. Daniel Schulman,,,,Dept of Cultural Affairs ,Program Director/Visual Art,"MA '86, IFA (GSAS/Fine Arts)"
,Ms. Susan Willa Schulman,,,, ,Art Dealer,"MA '85, IFA (GSAS/Fine Arts)"
,Dr. Anne Markham Schulz,,,,Brown University,Visiting Scholar,"MA '62, IFA (GSAS/Fine Arts)"
,Dr. Patricia Schulze Hills,,,,Dept of History of Art & Architecture,Professor Emerita,"PHD '73, IFA (GSAS/Fine Arts)"
,"Katherine A. Schwab, Ph.D.",,,,Fairfield University,Professor of Art History,"PHD '90, IFA (GSAS/Fine Arts)"
,Ms. Elizabeth Jessie Schwartz,,,,Elizabeth Schwartz LLC, ,"MA '99, IFA (GSAS/History of Art and Archaeology)"
,"Ellen C. Schwartz, Ph.D.",,,,Art Department,Professor of Art History,"XX '73, IFA (GSAS/Fine Arts)"
,Dr. Sheila Schwartz,,,,Saul Steinberg Foundation,Executive Director,"PHD '75, IFA (GSAS/Fine Arts)"
,Mr. Paul M. Schwartzbaum,,,,Solomon R. Guggenheim Foundation, ,"CERT '72, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '72, IFA (GSAS/History of Art and Archaeology)"
,Ms. Sylvia C. Schweri-Dorsch,,,,Chattel Architecture Planning & Preservation ,Preservation Consultant,"MA '06, IFA (GSAS/History of Art and Archaeology); CERT '06, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Nancy J. Scott,,,,Brandeis University,Chair & Associate Professor,"XX '72, IFA (GSAS/Fine Arts)"
,Ms. Ann Seibert,,,,National Archives,Deputy Director for Preservation,"CERT '87, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Sloan Seiden,,,,"University of Alaska, Anchorage",Adjunct Professor,"MA '88, IFA (GSAS/Fine Arts)"
,Ms. Joanna Sheers Seidenstein,,,,The Frick Collection,Curatorial/Research Assistant ,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,Mr. Andrew P. Seltzer,,,,Christie's,Global Project Manager (Operations),"MA '99, IFA (GSAS/History of Art and Archaeology); MBA '08, Stern Graduate (General Management (Executive Opt))"
,Dr. Harriet F. Senie,,,,Professor of Art History,Director of Museum Studies,"PHD '81, IFA (GSAS/Fine Arts)"
,"Nuno C. Senos, Ph.D.",,,,CIEE Study Center & Research Fellow,Resident Director,"PHD '06, IFA (GSAS/History of Art and Archaeology)"
,"Thomai Serdari, Ph.D.",,,,New York University,Director of Research & Adjunct Professor ,"MA '01, GSAS (Fine Arts, Art History); PHD '05, IFA (GSAS/History of Art and Archaeology); MBA '09, Stern Graduate (General Management (Executive Opt))"
,Mr. Kent John Severson,,,,Self-Employed, ,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '85, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Melissa Anne Shahbazian,,,,CBS Interactive,Marketing Analyst,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,Ms. Kimia Rose Shahi,,,,Whitebox Art Center,Assistant to the Director,"MA '12, IFA (GSAS/History of Art and Archaeology)"
,Mr. J. William Shank,,,,Conservation Resources Management,Conservator/Curator,"XX '49, WSC; MA '81, IFA (GSAS/History of Art and Archaeology); CERT '82, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Andra Lynn Shapiro, Esq.",,,,Nickelodeon - MTV Networks,General Counsel,"JD '85, Law; MA '87, IFA (GSAS/Fine Arts)"
,"Julie A. Shean, Ph.D.",,,,Information Services,Database Administrator for ,"PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Ms. A. Kate Sheerin,,,,Centraltrak,Director,"MA '02, IFA (GSAS/Conservatn Center Training Pgm)"
,Mr. Scott A. Sheidlower,,,,Library,Assistant Professor,"MA '81, IFA (GSAS/Fine Arts); MA '86, Gallatin"
,Ms. Marjorie N. Shelley,,,,The Metropolitan Museum of Art,Sherma Fairchild Conservator in Charge,"MA '71, IFA (GSAS/History of Art and Archaeology); CERT '74, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Andrew C. Shelton,,,,Department of History of Art,Associate Professor and Chair,"MA '89, IFA (GSAS/Fine Arts); PHD '97, IFA (GSAS/History of Art and Archaeology)"
,Ms. Frances Shen,,,,Brooklyn Academy of Music,Curator of Visual Arts,"MA '12, IFA (GSAS/History of Art and Archaeology)"
,Ms. Jennifer A. Sherman,,,,Dunedin Public Art Gallery, ,"MA '97, IFA (GSAS/History of Art and Archaeology); CERT '97, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Sylvia Miriam Shorto, Ph.D.",,,,American University of Beirut,Assistant Professor,"PA '95, IFA (GSAS/Curatorial Studies); MA '95, IFA (GSAS/History of Art and Archaeology); PHD '03, IFA (GSAS/History of Art and Archaeology)"
,Ms. Suzanne Siano,,,,in Private Practice,Paintings Conservator,"MA '92, IFA (GSAS/History of Art and Archaeology); CERT '96, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Sandra Sider,,,, ,"Artist, Writer, Curator, Teacher","MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Jessica V. Sigalow,,,,Rockefeller University,"Assistant Director, Parents & Science Initiative","MA '07, IFA (GSAS/History of Art and Archaeology)"
,"Hannah Lubman Sigur, Ph.D.",,,,San Francisco State University,Lecturer,"MA '91, IFA (GSAS/History of Art and Archaeology); PHD '13, IFA (GSAS/History of Art and Archaeology)"
,Mr. Eric J. Silver,,,,Lillian Nassau Llc,Director,"MA '72, IFA (GSAS/Fine Arts)"
,"Malka Simon, Ph.D.",,,, , ,"MA '02, IFA (GSAS/History of Art and Archaeology); PHD '09, IFA (GSAS/History of Art and Archaeology)"
,"Suzanna B. Simor, Ph.D.",,,,"Director, Queens College Art Center","Associate Professor/Head, Art Library","MA '74, IFA (GSAS/Fine Arts); PHD '96, IFA (GSAS/History of Art and Archaeology)"
,Dr. Eleanor G. Sims,,,, ,"Editor, Islamic Art","MA '67, IFA (GSAS/Fine Arts)"
,Mrs. Betty Selly Smith,,,, , ,"XX '49, WSC; MA '66, IFA (GSAS/Fine Arts)"
,Dr. Caron Smith,,,,Crow Collection of Asian Art,Curator,"MA '78, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/History of Art and Archaeology)"
,"Christine A. Smith, Ph.D.",,,,Professor of Architectural History,Robert C. and Marion K. Weinberg ,"PHD '75, IFA (GSAS/Fine Arts)"
,Dr. Elizabeth B. Smith,,,,Pennsylvania State University,Associate Professor of Art History,"MA '72, IFA (GSAS/Fine Arts)"
,Ms. Jessica Corwin Smith,,,,Ah-Tah-Thi-Ki Museum,Conservator,"MA '06, IFA (GSAS/History of Art and Archaeology); CERT '06, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Kathryn A. Smith, Ph.D.",,,,New York University ,Chair and Associate Professor,"MA '89, IFA (GSAS/Fine Arts); PHD '96, IFA (GSAS/History of Art and Archaeology)"
,Ms. Natalie Sarah Smith,,,,Danish Immigrant Museum,Inventory Assistant,"MA '12, IFA (Museum Studies)"
,Dr. Sharon Dunlap Smith,,,,William Paterson University,Associate Professor Emeritus,"MA '63, IFA (GSAS/Fine Arts)"
,Ms. Ann F. Snowden-Johnson,,,,Trinity School,History Teacher,"MA '90, IFA (GSAS/Fine Arts)"
,Ms. Jill Snyder,,,, ,Executive Director,"MA '92, IFA (GSAS/History of Art and Archaeology)"
,Ms. Reba Fishman Snyder,,,,Thaw Conservation Center,Paper Conservator,"BA '81, WSC (Fine Arts); CERT '86, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Ira M. Sohn,,,,Montclair State University,Professor of Economics and Finance,"XX '72, IFA (GSAS/Fine Arts)"
,Dr. David M. Sokol,,,,Department of Art History,Professor Emeritus,"MA '66, IFA (GSAS/Fine Arts)"
,"Gail E. Solberg, Ph.D.",,,,Associated Colleges of the Midwest,Adjunct Lecturer,"MA '80, IFA (GSAS/Fine Arts); PHD '91, IFA (GSAS/History of Art and Archaeology)"
,Ms. Vicki Landy Solia,,,, , ,"BA '75, WSC; MA '92, IFA (GSAS/History of Art and Archaeology)"
,Ms. Hannah F. Solomon,,,,Christie's Inc.,"Junior Specialist, Antiquities","MA '09, IFA (GSAS/History of Art and Archaeology)"
,Dr. Lauren Soth,,,,Carleton College,Professor Emeritus,"MA '62, IFA (GSAS/Fine Arts); PHD '70, IFA"
,Professor Priscilla Parsons Soucek,,,,Institute of Fine Arts ,Faculty Member,"XX '71, IFA (GSAS/Fine Arts)"
,"Mr. Jack Soultanian, Jr.",,,,Metropolitan Museum of Art,Conservator,"CERT '79, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '79, IFA (GSAS/History of Art and Archaeology)"
,"Suzanne Spain, Ph.D.",,,, ,Associate Provost,"MA '65, IFA (GSAS/Fine Arts); PHD '68, IFA (GSAS/Fine Arts)"
,Ms. Helen Elizabeth Spande,,,,Villa La Pietra, ,"CERT '03, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '03, IFA (GSAS/History of Art and Archaeology)"
,Ms. Elizabeth Sharpless Spier,,,,City Arts Inc., ,"MA '10, IFA (GSAS/History of Art and Archaeology)"
,Ms. Tiffany H. Sprague,,,,Publications and Editorial Services,Associate Director ,"MA '01, IFA (GSAS/History of Art and Archaeology)"
,"Paul Stanwick, Ph.D.",,,,Standard and Poor's Ratings Information Service,"Vice President, Editorial","MA '91, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Dr. Richard Stapleford,,,,"Hunter College, CUNY",Art History Professor,"XX '64, IFA (GSAS/Fine Arts)"
,Dr. Gail B. Stavitsky,,,,Montclair Art Museum,Chief Curator,"XX '78, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/Fine Arts)"
,Ms. Stephanie A. Stebich,,,,Tacoma Art Museum ,Director,"MA '91, GSAS; MA '98, IFA (GSAS/History of Art and Archaeology)"
,Ms. Donna Michele Stein Korn,,,,USC Gayle Garner Roski ,Director of Development,"MA '65, IFA (GSAS/Fine Arts)"
,Dr. Perrin V. Stein,,,,The Metropolitan Museum of Art,Curator,"MA '86, IFA (GSAS/Fine Arts); MA '90, IFA (GSAS/Curatorial Studies); PA '90, IFA (GSAS/Curatorial Studies); PHD '97, IFA (GSAS/History of Art and Archaeology)"
,Ms. Danielle J. Steinmann,,,,Hancock Shaker Village,Associate Director of Education,"MA '97, IFA (GSAS/History of Art and Archaeology)"
,Ms. Rachel Arlene Stekson,,,,Brooklyn Museum,Membership Services Coordinator ,"MA '13, IFA (GSAS/History of Art and Archaeology)"
,Mr. James C. Steward,,,,Princeton University Art Museum,Director,"MA '90, IFA (GSAS/Fine Arts)"
,"Philip Todd Stinson, Ph.D.",,,,Dept. of Classics,Assistant Professor,"PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Ms. Danica Michelle Stitz,,,,Winebow Inc.,Wine Education,"MA '03, IFA (GSAS/History of Art and Archaeology)"
,"Karen Anne Stock, Ph.D.",,,,College of Visual and Performing Arts,Assistant Professor of Fine Arts ,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
,Ms. Doreen N. Stoller,,,,Hermann Park Conservacy,Executive Director,"MA '86, IFA (GSAS/Fine Arts)"
,Dr. Joyce Hill Stoner,,,,University of Delaware,Professor/Director Art Conservation,"MA '70, IFA (GSAS/History of Art and Archaeology); CERT '73, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Virginia Stotz,,,,Kean University,Professor Emerita,"'60, Education (Art Education);  '68, IFA (GSAS/Fine Arts); PHD '95, IFA (GSAS/History of Art and Archaeology)"
,Ms. Martha Stotzky,,,, ,Reiki Practitioner,"BA '83, WSC; MA '91, IFA (GSAS/History of Art and Archaeology)"
,Ms. Harriet K. Stratis,,,,Conservator of Prints and Drawings,Head of Paper Conservation,"CERT '89, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '90, IFA (GSAS/History of Art and Archaeology)"
,Dr. Suzanne L. Stratton-Pruitt,,,, ,Independent Art Historian,"PHD '83, IFA (GSAS/Fine Arts)"
,"Dora Straus, Esq.",,,,Curtis Mallet Prevost,Associate,"MA '95, IFA (GSAS/History of Art and Archaeology); JD '99, Law"
,Mrs. Marlene Barasch Strauss,,,, ,Lecturer,"MA '76, IFA (GSAS/Fine Arts)"
,"Cecil Leopold Striker, Ph.D.",,,,Dept of the History of Art,Professor Emeritus,"MA '60, IFA (GSAS/Fine Arts); PHD '68, IFA (GSAS/Fine Arts)"
,Ms. Laura Suarez-Galban,,,,Canning House,Head of Culture and Education,"BA '97, CAS (Fine Arts); MA '99, IFA (GSAS/History of Art and Archaeology)"
,"Adrian Vaile Sudhalter, Ph.D.",,,,The Museum of Modern Art,Curatorial Assistant,"MA '97, IFA (GSAS/History of Art and Archaeology); PHD '05, IFA (GSAS/History of Art and Archaeology)"
,"Jennifer Alexandra Sudul, Ph.D.",,,,"Art Table, Incorporated", ,"BA '93, WSC (English); PHD '14, IFA (GSAS/History of Art and Archaeology)"
,Mrs. Anne M. Sullivan,,,, ,Adjunct,"MA '93, IFA (GSAS/Conservatn Center Training Pgm)"
,Dr. Edward J. Sullivan,,,,New York University,Helen Gould Sheppard Professor,"XX '71, WSC; XX '72, IFA (GSAS/Fine Arts)"
,Ms. Mary L. Sullivan,,,,Virginia Museum of Fine Arts,Associate Registrar,"XX '85, IFA (GSAS/Fine Arts)"
,Ms. Anna M. Swinbourne,,,,The Museum of Modern Art,Assistant Curator,"MA '02, IFA (GSAS/History of Art and Archaeology)"
,"Mr. James W. Sykes, Jr.",,,,The Brearley School,Teacher,"MA '90, IFA (GSAS/Fine Arts)"
,Ms. Sarah Campbell Szabo,,,,Center for Wooden Boats,Development Assistant,"MA '12, GSAS (Latin American/Caribbean Studies); ADCRT '12, IFA (Museum Studies)"
,Mrs. Pamela Steele Tabbaa,,,,"Visual Arts Collection, U Michigan",Assisstant Curator,"XX '77, IFA (GSAS/Fine Arts)"
,Dr. Yasser Tabbaa,,,,Oberlin College,Visiting Associate Professor,"MA '77, IFA (GSAS/Fine Arts); PHD '82, IFA"
,Dr. Carol F. Tabler,,,,Long Island Univesity,Adjunct Professor of Art,"PHD '95, IFA (GSAS/History of Art and Archaeology)"
,"June H. Taboroff-Hankey, Ph.D.",,,,The Old Laboratories No. 4,Senior Cultural Resource Specialist,"MA '74, IFA (GSAS/Fine Arts); PHD '81, IFA"
,Dr. Munir Y. Taha,,,,Qatar Museums Authority,Senior Archaeology Expert,"MA '69, IFA (GSAS/Fine Arts)"
,Ms. Judith B. Tankard,,,, ,Independent Scholar,"MA '67, IFA (GSAS/Fine Arts)"
,Ms. Lisa Marie Tannenbaum,,,,CUNY Graduate Center,Ph.D. Candidate,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,"Marie C. Tanner, Ph.D.",,,, ,Independent Scholar,"MA '70, IFA (GSAS/Fine Arts); PHD '76, IFA (GSAS/Fine Arts)"
,"Alice J. Taylor, Ph.D.",,,,Humanities/Fine Arts, ,"XX '79, IFA (GSAS/Fine Arts); PHD '88, IFA (GSAS/Fine Arts)"
,Ms. Susan M. Taylor,,,,New Orleans Museum of Art,Director and CEO,"MA '86, IFA (GSAS/Fine Arts)"
,Ms. Sarah P. Thein-Weber,,,,Frick Collection, ,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,Ms. Karen E. Thomas,,,,The Metropolitan Museum of Art,Associate Paintings Conservator,"CERT '04, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '04, IFA (GSAS/History of Art and Archaeology)"
,Dr. Thelma K. Thomas,,,,"Institute of Fine Arts, NYU",Associate Professor,"MA '82, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/Fine Arts)"
,"Lydia duPont Thompson, Ph.D.",,,,Thompson & Martinez,Principal,"MA '89, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,Dr. Nancy L. Thompson,,,,Metropolitan Museum of Art,Associate Museum Educator,"MA '89, IFA (GSAS/Fine Arts); PHD '96, IFA (GSAS/History of Art and Archaeology)"
,Ms. Cristin Tierney,,,,Cristin Tierney Gallery , ,"MA '03, IFA (GSAS/History of Art and Archaeology)"
,Mr. Richard P. Townsend,,,,Museum of Biblical Art,Director,"MA '89, IFA (GSAS/Fine Arts)"
,Professor Marvin L. Trachtenberg,,,,New York University ,Kitzmiller Professor of Art History,"XX '63, IFA (GSAS/Fine Arts)"
,Dr. Joan Troccoli,,,,Denver Art Museum,Senior Scholar,"MA '77, IFA (GSAS/Fine Arts)"
,Ms. Margaret Kelly Trombly,,,,"The Forbes Collection, Forbes Inc.",Vice President,"MA '74, IFA (GSAS/Fine Arts)"
,"Mark Todd Trowbridge, Ph.D.",,,,Marymount University,Associate Professor,"MA '90, IFA (GSAS/Fine Arts); PA '92, IFA (GSAS/Curatorial Studies); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Mr. Angus A. G. Trumble,,,,National Portrait Gallery,Director,"MA '98, IFA (GSAS/History of Art and Archaeology)"
,Ms. Deborah Lee Trupin,,,,"NY State Office of Parks, Recreation & Historic Preservation",Textile Conservator,"MA '82, IFA (GSAS/History of Art and Archaeology); CERT '82, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Phyllis R. Tuchman,,,,"Town & Country, Art in America, artnet.com",Art Critic/Journalist,"MA '73, IFA (GSAS/Fine Arts)"
,"Rebecca Joslyn Tucker, Ph.D.",,,,Colorado College,Associate Professor,"MA '94, IFA (GSAS/History of Art and Archaeology); PHD '02, IFA (GSAS/History of Art and Archaeology)"
,Ms. Fatima Z. Turkkan,,,,Christie's Zurich,"Consultant, Pre-Columbian Art Dept.","XX '84, IFA (GSAS/Fine Arts)"
,"Richard H. Turnbull, Ph.D.",,,,Department of the History of Art,Department Chair & Assistant Professor ,"MA '89, IFA (GSAS/Fine Arts); PHD '04, IFA (GSAS/History of Art and Archaeology)"
,Dr. Jaimee E. Uhlenbrock,,,,State University of New York at New Paltz,Professor Emerita,"MA '66, IFA (GSAS/Fine Arts)"
,Ms. Leyla Ipek Ulusoy,,,,Borusan Contemporary,Curatorial Associate,"MA '10, IFA (Museum Studies)"
,Dr. Anne W. Umland,,,,Curator of Painting and Sculpture ,The Blanchette Hooker Rockefeller,"MA '86, IFA (GSAS/Fine Arts); PHD '97, IFA (GSAS/History of Art and Archaeology)"
,"Allison L. Unruh, Ph.D.",,,,Robert Indiana Catalogue Raisonné,Director,"PHD '08, IFA (GSAS/History of Art and Archaeology)"
,Ms. Serena Urry,,,,Cincinnati Art Museum,Chief Conservator,"CERT '89, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '89, IFA (GSAS/History of Art and Archaeology)"
,Mr. Jeffrey N. Uslip,,,,Contemporary Art Museum St. Louis,Chief Curator,"MA '12, GSAS (GSAS/History of Art and Archaeology); MA '12, IFA (GSAS/History of Art and Archaeology)"
,"Gertje R. Utley, Ph.D.",,,, ,Independent Scholar,"MA '84, IFA (GSAS/Fine Arts); PHD '97, IFA (GSAS/History of Art and Archaeology)"
,"Julie A. Van Voorhis, Ph.D.",,,,Indiana University,Associate Professor,"MA '92, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Pippa Vanderstar,,,,University of the Arts,Master Lecturer,"MA '91, IFA (GSAS/History of Art and Archaeology)"
,Dr. Eleni Vassilika,,,,Museo Egizio di Torino,Director,"MA '82, IFA (GSAS/Fine Arts); PHD '89, IFA (GSAS/Fine Arts)"
,Dr. Marjorie S. Venit,,,,University of Maryland,Professor,"MA '76, IFA (GSAS/Fine Arts)"
